	SRR29920099	SRR29920100	SRR29920101	SRR29920102	SRR29920103	SRR29920104	SRR29920105	SRR29920106	SRR29920107	SRR29920108	SRR29920109	SRR29920110	SRR29920111	SRR29920112	SRR29920113	SRR29920114	SRR29920115	SRR29920116	SRR29920117	SRR29920118	SRR29920119	SRR29920120	SRR29920121	SRR29920122	SRR29920123	SRR29920124	SRR29920125	SRR29920126	SRR29920127	SRR29920128	SRR29920129	SRR29920130	SRR29920131	SRR29920132	SRR29920133	SRR29920134	SRR29920135	SRR29920136	SRR29920137	SRR29920138	SRR29920139	SRR29920140	SRR29920141	SRR29920142	SRR29920143	SRR29920144	SRR29920145	SRR29920146	SRR29920147	SRR29920148	SRR29920149	SRR29920150	SRR29920151	SRR29920152	SRR29920153	SRR29920154	SRR29920155	SRR29920156	SRR29920157	SRR29920158	SRR29920159	SRR29920160	SRR29920161	SRR29920162	SRR29920163	SRR29920164	SRR29920165	SRR29920166	SRR29920167	SRR29920168	SRR29920169	SRR29920170	SRR29920171	SRR29920172	SRR29920173	SRR29920174	SRR29920175	SRR29920176	SRR29920177	SRR29920178	SRR29920179	SRR29920180	SRR29920181	SRR29920182	SRR29920183	SRR29920184	SRR29920185	SRR29920186	SRR29920187	SRR29920188	SRR29920189	SRR29920190	SRR29920191	SRR29920192	SRR29920193	SRR29920194	SRR29920195	SRR29920196	SRR29920197	SRR29920198	SRR29920199	SRR29920200
ASV_0021	22	46	62	124	31	276	773	985	461	886	315	823	606	705	329	655	412	648	850	627	293	159	55	41	60	87	309	516	219	67	0	13	73	0	0	0	372	318	530	718	450	1184	246	16	361	1174	550	755	0	0	28	13	0	0	539	0	0	0	0	0	0	791	659	508	197	740	832	326	593	985	898	249	781	18	163	352	538	344	54	138	105	47	0	22	0	0	111	14	0	0	267	254	131	294	438	503	420	521	70	511	126	153
ASV_0022	0	159	0	277	0	1411	0	47	0	5583	63	3280	1957	0	889	2200	1815	0	0	0	749	466	0	0	0	0	0	0	0	0	0	0	349	1196	0	841	0	0	0	0	710	66	0	224	0	430	246	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	652	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	1381	59	90
ASV_0023	0	0	0	0	0	0	0	0	0	0	0	0	0	10487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3387	5335	6013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_0024	0	0	0	0	0	0	108	290	73	0	0	0	0	0	0	14	0	0	0	0	196	0	410	287	0	0	648	1370	0	0	0	0	228	0	0	0	277	0	0	0	263	0	0	156	0	0	0	0	21	111	152	0	0	120	0	291	1556	201	123	2509	18	0	0	0	0	0	0	0	0	0	0	0	0	171	459	0	0	0	768	235	323	188	366	161	48	2625	338	423	5581	611	0	0	0	0	0	0	0	466	0	0	1036	1037
ASV_0025	0	858	0	826	0	272	750	70	330	0	0	0	375	0	147	259	167	131	84	136	0	0	187	498	575	394	116	0	525	780	633	411	0	0	769	0	101	241	231	406	505	170	490	0	428	194	141	281	1278	1292	445	276	132	0	289	0	201	0	0	0	0	0	0	153	547	105	259	128	0	0	0	157	93	0	0	0	275	147	0	0	0	0	147	751	1128	0	360	0	0	302	92	680	541	291	0	0	158	100	546	0	0	0
ASV_0026	27	7	99	35	32	111	446	62	0	240	47	147	155	4347	122	206	213	179	110	293	65	287	93	24	27	180	117	544	268	103	7	6	0	230	0	118	346	1900	1249	934	438	56	43	0	31	209	154	183	0	26	46	39	16	404	0	133	100	1280	168	16	432	0	0	342	45	55	450	0	0	224	401	106	0	36	110	0	45	0	160	162	168	110	314	22	27	156	150	0	310	276	0	0	0	135	220	0	0	223	160	697	371	274
ASV_0027	0	27	0	477	0	480	375	0	0	343	94	2076	191	0	0	0	0	0	98	0	96	87	66	0	136	316	85	2680	0	0	0	0	0	689	0	294	4604	0	0	0	30	33	0	0	0	0	0	0	0	0	0	0	0	69	84	0	87	2388	65	1467	78	0	0	0	0	81	0	0	0	74	247	0	32	0	0	120	64	0	0	409	61	184	0	0	0	341	0	0	822	0	0	0	0	0	26	0	0	99	625	1365	388	246
ASV_0028	0	33	0	22	0	38	922	2873	486	68	143	14	420	16	530	360	132	0	0	0	0	925	0	0	56	113	0	0	34	26	0	0	0	0	0	0	0	98	517	407	274	276	215	0	519	845	638	792	0	0	0	45	0	0	152	31	516	755	16	185	0	69	808	451	126	220	347	0	0	131	95	141	395	0	0	1235	507	866	0	469	33	186	15	0	0	0	0	0	0	133	0	423	166	167	301	0	107	285	312	434	0	0
ASV_0029	0	0	0	0	0	59	1427	304	349	402	0	217	224	0	43	148	131	643	86	755	618	0	170	37	0	0	754	2114	0	0	0	0	0	0	0	0	1082	0	0	0	188	186	63	0	127	207	115	187	0	8	107	0	272	463	82	0	0	0	0	0	460	0	0	0	0	417	0	0	0	0	0	0	492	0	0	219	232	123	0	224	79	56	1648	0	0	0	0	0	0	890	0	0	0	0	0	0	0	2203	0	0	101	112
ASV_0030	0	0	0	0	0	0	464	127	191	15	91	96	596	13	161	324	171	96	160	244	441	20	22	269	0	0	204	289	0	0	483	944	0	0	903	0	344	173	412	495	373	109	356	0	481	174	164	272	1194	238	290	0	193	290	276	0	0	0	0	0	29	172	14	21	156	282	45	228	39	67	10	144	83	0	0	256	396	178	0	0	0	0	527	0	0	0	0	0	0	953	81	1106	628	476	284	84	115	93	0	15	0	0
