.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR29920149_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920150_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920150_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920151_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920151_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920152_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920152_2	1	0.5	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920153_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920153_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920154_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920154_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920155_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920155_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920156_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920156_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920157_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920157_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920158_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920158_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920159_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920159_2	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920160_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920160_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920161_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920161_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920162_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920162_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920163_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920163_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920164_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920164_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920165_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920165_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920166_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920166_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920167_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920167_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920168_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920168_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920169_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR29920169_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920170_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920170_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920171_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920171_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920172_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
