Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR29920114_1	(1.0, 4.250713963625432)	(2.0, 2.366852046695726)	(3.0, 1.4279272508642717)	(4.0, 0.9018487900195401)	(5.0, 0.7264893030712961)	(6.0, 0.5591462498121149)	(7.0, 0.5330928403226615)	(8.0, 0.35272308231875343)	(9.0, 0.405831955508793)	('>10', 9.510496517861617)	('>50', 7.391151861315697)	('>100', 24.49822135377524)	('>500', 19.258479883761712)	('>1k', 27.817024901047148)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920114_2	(1.0, 2.7546470264041285)	(2.0, 1.016082970088682)	(3.0, 0.7244851946490305)	(4.0, 0.6733804298812566)	(5.0, 0.5912119845683651)	(6.0, 0.4749736960769578)	(7.0, 0.547121599278521)	(8.0, 0.4008216844531289)	(9.0, 0.3517210281076206)	('>10', 4.955158074051806)	('>50', 1.5952703041234533)	('>100', 2.708552532692019)	('>500', 2.3808808056515858)	('>1k', 55.18412746129565)	('>5k', 25.64156520867779)	('>10k+', 0.0)
SRR29920115_1	(1.0, 4.696695709353937)	(2.0, 2.5250698668420184)	(3.0, 1.4647377938517179)	(4.0, 0.854841361170475)	(5.0, 0.838402104224889)	(6.0, 0.6214039125431531)	(7.0, 0.3567318757192175)	(8.0, 0.7233273056057866)	(9.0, 0.36988328127568637)	('>10', 11.052112444517508)	('>50', 7.266151569949038)	('>100', 30.983067565346044)	('>500', 15.572908104553672)	('>1k', 22.674667105046854)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920115_2	(1.0, 3.07742890021371)	(2.0, 1.3282919612033535)	(3.0, 1.0356731875719216)	(4.0, 0.8351142528357718)	(5.0, 0.7808647049153379)	(6.0, 0.5918132500410981)	(7.0, 0.3682393555811277)	(8.0, 0.4076935722505343)	(9.0, 0.4142692750287687)	('>10', 4.473121814893967)	('>50', 0.404405720861417)	('>100', 3.7843169488739106)	('>500', 5.101101430215355)	('>1k', 77.39766562551372)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920116_1	(1.0, 4.710665042160754)	(2.0, 2.412632544000386)	(3.0, 1.4113900382402258)	(4.0, 0.8299455951361328)	(5.0, 0.868547715840139)	(6.0, 0.5935076058240949)	(7.0, 0.4053222673920649)	(8.0, 0.46322544844807406)	(9.0, 0.3908464721280625)	('>10', 9.358601638177497)	('>50', 10.111342991905618)	('>100', 33.31724911637333)	('>500', 13.449220116530153)	('>1k', 21.677503407843467)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920116_2	(1.0, 3.013378047456482)	(2.0, 1.319710001568211)	(3.0, 0.8974993063681436)	(4.0, 0.7382655584641181)	(5.0, 0.693631856400111)	(6.0, 0.6514107868801042)	(7.0, 0.6079834010880972)	(8.0, 0.3956717372160633)	(9.0, 0.41256016502406606)	('>10', 4.6045092102247365)	('>50', 1.2449183927041994)	('>100', 5.5020085165928805)	('>500', 3.545363523408567)	('>1k', 63.18322737855411)	('>5k', 13.189862118050112)	('>10k+', 0.0)
SRR29920117_1	(1.0, 5.1291238686731955)	(2.0, 2.664755686493086)	(3.0, 1.4690660084401623)	(4.0, 0.9024073041908857)	(5.0, 0.6834408259680972)	(6.0, 0.47774504339517476)	(7.0, 0.4923428086100273)	(8.0, 0.47774504339517476)	(9.0, 0.4658014173102954)	('>10', 11.821535684900603)	('>50', 6.5981898771133585)	('>100', 40.042997053905566)	('>500', 21.700241526660825)	('>1k', 7.074607850943547)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920117_2	(1.0, 3.009793773389601)	(2.0, 1.4358892693154977)	(3.0, 1.0908511824189824)	(4.0, 1.0138811476497598)	(5.0, 0.7365236085675612)	(6.0, 0.6290309738036468)	(7.0, 0.5480797303394643)	(8.0, 0.48836159991506756)	(9.0, 0.38219603471613983)	('>10', 4.60891259919845)	('>50', 1.074926347639143)	('>100', 2.940786156010298)	('>500', 12.092257876157868)	('>1k', 69.94850970087853)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920118_1	(1.0, 5.051256998402581)	(2.0, 2.8226244203539137)	(3.0, 1.4609407714139486)	(4.0, 0.94914623365747)	(5.0, 0.7134105677817584)	(6.0, 0.5490159586842228)	(7.0, 0.434249910823679)	(8.0, 0.459064191442175)	(9.0, 0.5443632810682547)	('>10', 11.38975480388964)	('>50', 10.578638006172552)	('>100', 38.28843499433924)	('>500', 16.197521673723227)	('>1k', 10.561578188247337)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920118_2	(1.0, 3.190185952015385)	(2.0, 1.4671443415685725)	(3.0, 0.9724096217373098)	(4.0, 0.868499821647358)	(5.0, 0.7521828812481584)	(6.0, 0.6234588005397106)	(7.0, 0.5102436452178228)	(8.0, 0.3598070689681912)	(9.0, 0.474573116828735)	('>10', 5.26838195381442)	('>50', 1.0065292575877416)	('>100', 5.49326137191954)	('>500', 5.814296127421331)	('>1k', 73.19902603948573)	('>5k', 0.0)	('>10k+', 0.0)
